code;name;description
G2.1.4;G 2.1.4;"binnen mesten; biofilter 70% emissiereductie "
G4.1;G 4.1;"waterluchtwassysteem; 33% emissiereductie fijn stof "
G4.2;G 4.2;"droogfilterwand; 40% emissiereductie fijn stof "
G4.3;G 4.3;"ionisatiefilter; 57% emissiereductie fijn stof "
G4.4;G 4.4;"warmtewisselaar; 31% emissiereductie fijn stof "
G4.5;G 4.5;"warmtewisselaar; 13% emissiereductie fijn stof "
I1.2;I 1.2;mechanisch geventileerde stal met een biologisch luchtwassysteem 70% emissiereductie 
I1.3;I 1.3;mechanisch geventileerde stal met een chemisch luchtwassysteem 70% emissiereductie 
I1.4;I 1.4;mechanisch geventileerde stal met een chemisch luchtwassysteem 90% emissiereductie 
I2.2;I 2.2;mechanisch geventileerde stal met een biologisch luchtwassysteem 70% emissiereductie 
I2.3;I 2.3;mechanisch geventileerde stal met een chemisch luchtwassysteem 70% emissiereductie 
I2.4;I 2.4;mechanisch geventileerde stal met een chemisch luchtwassysteem 90% emissiereductie 
