code	name	description
LPAD1986MED	Personenauto - diesel - middelzwaar - pre Euro wetgeving (1986)	Personenauto - diesel - middelzwaar - pre Euro wetgeving (1986)
LPAD1986ZWA	Personenauto - diesel - zwaar - pre Euro wetgeving (1986)	Personenauto - diesel - zwaar - pre Euro wetgeving (1986)
LPAD1987LCH	Personenauto - diesel - licht - pre Euro wetgeving (1987)	Personenauto - diesel - licht - pre Euro wetgeving (1987)
LPAD1987MED	Personenauto - diesel - middelzwaar - pre Euro wetgeving (1987)	Personenauto - diesel - middelzwaar - pre Euro wetgeving (1987)
LPAD1987ZWA	Personenauto - diesel - zwaar - pre Euro wetgeving (1987)	Personenauto - diesel - zwaar - pre Euro wetgeving (1987)
LPAD1988LCH	Personenauto - diesel - licht - pre Euro wetgeving (1988)	Personenauto - diesel - licht - pre Euro wetgeving (1988)
LPAD1988MED	Personenauto - diesel - middelzwaar - pre Euro wetgeving (1988)	Personenauto - diesel - middelzwaar - pre Euro wetgeving (1988)
LPAD1988ZWA	Personenauto - diesel - zwaar - pre Euro wetgeving (1988)	Personenauto - diesel - zwaar - pre Euro wetgeving (1988)
LPAD1989LCH	Personenauto - diesel - licht - pre Euro wetgeving (1989)	Personenauto - diesel - licht - pre Euro wetgeving (1989)
LPAD1989MED	Personenauto - diesel - middelzwaar - pre Euro wetgeving (1989)	Personenauto - diesel - middelzwaar - pre Euro wetgeving (1989)
LPAD1989ZWA	Personenauto - diesel - zwaar - pre Euro wetgeving (1989)	Personenauto - diesel - zwaar - pre Euro wetgeving (1989)
LPAD1990LCH	Personenauto - diesel - licht - pre Euro wetgeving (1990)	Personenauto - diesel - licht - pre Euro wetgeving (1990)
LPAD1990MED	Personenauto - diesel - middelzwaar - pre Euro wetgeving (1990)	Personenauto - diesel - middelzwaar - pre Euro wetgeving (1990)
LPAD1990ZWA	Personenauto - diesel - zwaar - pre Euro wetgeving (1990)	Personenauto - diesel - zwaar - pre Euro wetgeving (1990)
LPAD1991LCH	Personenauto - diesel - licht - pre Euro wetgeving (1991)	Personenauto - diesel - licht - pre Euro wetgeving (1991)
LPAD1991MED	Personenauto - diesel - middelzwaar - pre Euro wetgeving (1997)	Personenauto - diesel - middelzwaar - pre Euro wetgeving (1997)
LPAD1991ZWA	Personenauto - diesel - zwaar - pre Euro wetgeving (1997)	Personenauto - diesel - zwaar - pre Euro wetgeving (1997)
LPAD1992LCH	Personenauto - diesel - licht - pre Euro wetgeving (1992)	Personenauto - diesel - licht - pre Euro wetgeving (1992)
LPAD1992MED	Personenauto - diesel - middelzwaar - pre Euro wetgeving (1992)	Personenauto - diesel - middelzwaar - pre Euro wetgeving (1992)
LPAD1992ZWA	Personenauto - diesel - zwaar - pre Euro wetgeving (1992)	Personenauto - diesel - zwaar - pre Euro wetgeving (1992)
LPADEUA6	Personenauto - diesel - Euro-6 pre-RDE	Personenauto - diesel - Euro-6 pre-RDE
LPADEUD6	Personenauto - diesel - Euro-6 RDE	Personenauto - diesel - Euro-6 RDE
LPADEUR1	Personenauto - diesel - Euro-1	Personenauto - diesel - Euro-1
LPADEUR2	Personenauto - diesel - Euro-2	Personenauto - diesel - Euro-2
LPADEUR3	Personenauto - diesel - Euro-3	Personenauto - diesel - Euro-3
LPADEUR3HOF	Personenauto - diesel - Euro-3 - halfopen filter	Personenauto - diesel - Euro-3 - halfopen filter
LPADEUR4	Personenauto - diesel - Euro-4	Personenauto - diesel - Euro-4
LPADEUR4DPF	Personenauto - diesel - Euro-4 - DPF	Personenauto - diesel - Euro-4 - DPF
LPADEUR4HOF	Personenauto - diesel - Euro-4 - halfopen filter	Personenauto - diesel - Euro-4 - halfopen filter
LPADEUR5	Personenauto - diesel - Euro-5	Personenauto - diesel - Euro-5
LPADPR82LCH	Personenauto - diesel - licht - pre Euro wetgeving (< 1982)	Personenauto - diesel - licht - pre Euro wetgeving (< 1982)
LPADPR82MED	Personenauto - diesel - middelzwaar - pre Euro wetgeving (< 1982)	Personenauto - diesel - middelzwaar - pre Euro wetgeving (< 1982)
LPADPR82ZWA	Personenauto - diesel - zwaar - pre Euro wetgeving (< 1982)	Personenauto - diesel - zwaar - pre Euro wetgeving (< 1982)
LPAEZEEV	Personenauto - elektrisch	Personenauto - elektrisch
LPAHZEEV	Personenauto - waterstof	Personenauto - waterstof
LPAL1982LCH	Personenauto - LPG - licht - pre Euro wetgeving (1982)	Personenauto - LPG - licht - pre Euro wetgeving (1982)
LPAL1982MED	Personenauto - LPG - middelzwaar - pre Euro wetgeving (1982)	Personenauto - LPG - middelzwaar - pre Euro wetgeving (1982)
LPAL1982ZWA	Personenauto - LPG - zwaar - pre Euro wetgeving (1982)	Personenauto - LPG - zwaar - pre Euro wetgeving (1982)
